카드 장수,이름,효과,,,
2,이사가세요 - 2,[도착] 역방향 두 칸 갑니다,,,
2,이사가세요 - 3,[도착] 역방향으로 세 칸 갑니다,,,
1,인수하세요 - 2,"[도착] 역방향으로 두 칸 가서 해당 토지를 무료로 인수합니다, 만일 자신의 소유라면 징표를 가진 사람에게 토지를 양도합니다",,,
1,인수하세요 - 3,"[도착] 역방향으로 세 칸 가서 해당 토지를 무료로 인수합니다, 뒤로 세 칸 위치의 토지가 자신의 소유라면 징표를 가진 사람에게 토지를 양도합니다",,,
1,성과금,미리내 조각 1개 마다 1냥 수여 받음,,,
1,높은 성과금,미리내 조각 1개 마다 2냥 수여 받음,,,
1,신호 위반,"벌금 6냥, 은행에 지불, 무뢰 인물은 추가로 2냥 더 내세요",,,
1,음주 승마,"벌금 10냥, 은행에 지불하세요",,,
2,청약 당첨,[효과] 빈 구역의 토지를 하나 선택하여 구매할 수 있습니다,,,
2,부실 공사,[효과] 당신의 토지 한 개의  소유권을 빼앗깁니다,,,
1,땅 도둑,[효과] 다른 사람의 토지 하나 선택하여 무료 인수합니다 [효과] 인물이 무뢰 속성이면 자신의 토지 중 하나를 징표를 가진 참가자에게 양도합니다,,,
1,기부천사,[효과] 당신의 토지를 하나 선택하여 징표를 가진 참가자에게 양도합니다,,,
1,화려한 잔치,[효과] 모든 참가자에게 2냥씩 지급합니다 [효과] 인물이 무뢰 속성이라면 모든 참가자로부터 2냥씩 받습니다,,,
1,수상한 음료,"[효과] 즉시 주사위를 1개 굴려 이동합니다, 도착 취급합니다",,,
1,아주 수상한 음료,"[효과] 즉시 주사위를 2개 굴려 이동합니다, 도착 취급합니다",,,
1,반액대매출,[효과] 당신의 토지 1개를 반 값으로 은행에 매각하세요,,,
3,축복 주사위,"[효과] 주사위를 2개 굴리세요, 나온수에 1냥을 곱해 은행에서 수여받습니다, [효과] 주사위가 12가 나오면 18냥을 받습니다",,,
3,저주 주사위,"[효과] 주사위를 2개 굴리세요, 나온 수에서 1냥을 곱해 은행에 지불하세요, [효과] 주사위가 2가 나오면 18냥 지불합니다",,,
2,남 좋은 일,"[효과] 당신을 제외하고 모두 4냥 받습니다, *무뢰 인물은 받지 못합니다",,,
2,배가 아픈 일,[효과] 징표를 가진 참가자는 이번 턴 토지 구입비가 무료입니다,,,
2,참을 수 없는 미소,"[효과] 당신을 빼고 모두 은행에 3냥 지불합니다, *무뢰 인물은 2배로 지불하세요",,,
1,거절할 수 없는 거래,"[효과] 당신의 토지 하나를 다른 참가자의 토지 하나와 교환합니다, [효과] 인물이 무뢰 또는 상민 속성이라면 토지를 교환할 때 토지의 통행료만큼 상대방에게 추가 지불합니다",,,
1,경건한 징표,"[효과] 당신이 징표를 갖고 있다면, 빈 구역의 토지를 하나 가집니다, [효과] 당신이 징표를 갖고 있지 않다면 징표를 가진 참가자에게 4냥을 지급합니다",,,
1,야수의 심장,"[효과] 모두 주사위를 굴리세요, 당신 보다 주사위 값이 낮은 사람에게 4냥 받으세요, [효과] 당신이 모두에게 졌다면 모두에게 5냥 씩 지급하세요",,,
2,짧은 여행,"[도착] 가장 가까운 참가자의 위치로 도착합니다, 자신의 말과 다른 말의 칸 차이가 가장 적게 나는 것을 의미합니다 ",,,
1,끼어들기,"[이동] 가장 가까운 참가자의 위치로 이동, [도착] 인물이 무뢰 또는 잡인 속성이면 가장 가까운 참가자의 위치로 도착합니다",,,
2,긴 여행,"[도착] 가장 먼 참가자의 위치로 도착합니다, 자신의 말과 다른 말의 칸 수 차이가 가장 많이 나는 것을 의미합니다 ",,,
2, 휴게소,"[도착] 자신이 소유한 가장 가까운 토지로 도착, [도착] 인물이 무뢰 또는 잡인 속성이라면 가장 가까운 토지에서 한칸 더 갑니다",,,
2,안전 이동,"[도착] 자신이 소유한 가장 먼 토지로 도착, [도착] 당신이 무뢰 또는 잡인 속성이라면 가장 먼 토지에서 한 칸 더 갑니다",,,
2,자원 재활용,[효과] 자신의 모든 무거운 짐과 가벼운 짐  비책을 제거하고 제거 비용의 2배 만큼 은행에서 수여 받으세요,,,
2,모두의 재활용,[효과] 무뢰 인물을 선택한 사람을 제외하고 모든 사람의 무거운 짐과 가벼운 짐 비책을 제거하고 제거 비용의 2배 만큼 은행에서 수여받으세요,,,
2,화재 발생,[효과] 자신의 무거운 짐과 가벼운 짐 카드를 제거하고 제거 비용의 1배 만큼 은행에 지불하세요,,,
2,산불 발생,[효과] 모든 사람의 무거운 짐과 가벼운 짐 카드를 제거하고 제거 비용의 2배 만큼 은행에 지불하세요,,,
1,운석 낙하,[효과] 종료 시간을 2개 당기고 조각 2개 받습니다,,,
3,돼지 꿈,주사위 카드를 선택하여 2장 가집니다,,,
