index,kind,block_id,zone_color,economy_profile
0,F1,-1,,
1,T2,1,검은색,HIGH
2,T2,1,검은색,HIGH
3,S,-1,,
4,T2,2,빨간색,LOW
5,T3,2,빨간색,MID
6,T2,2,빨간색,LOW
7,S,-1,,
8,T2,3,노란색,HIGH
9,T2,3,노란색,HIGH
10,F2,-1,,
11,T2,4,파란색,HIGH
12,T2,4,파란색,HIGH
13,S,-1,,
14,T2,5,하얀색,LOW
15,T3,5,하얀색,MID
16,T2,5,하얀색,LOW
17,S,-1,,
18,T2,6,초록색,HIGH
19,T2,6,초록색,HIGH
20,F1,-1,,
21,T2,7,검은색,HIGH
22,T2,7,검은색,HIGH
23,S,-1,,
24,T2,8,빨간색,LOW
25,T3,8,빨간색,MID
26,T2,8,빨간색,LOW
27,S,-1,,
28,T2,9,노란색,HIGH
29,T2,9,노란색,HIGH
30,F2,-1,,
31,T2,10,파란색,HIGH
32,T2,10,파란색,HIGH
33,S,-1,,
34,T2,11,하얀색,LOW
35,T3,11,하얀색,MID
36,T2,11,하얀색,LOW
37,S,-1,,
38,T2,12,초록색,HIGH
39,T2,12,초록색,HIGH
