전체 장수,이름,설명,
1,성물 수집가,[효과] 이번 턴 모든 미리내 조각 수집 기회의 조각을 2배로 수집합니다. 랩 보상은 제외합니다,
8,무거운 짐,[효과] 아무 효과도 없습니다 [효과] 사용하려면 4냥 지불하세요 [효과] 보급 시 4냥 지불하고 새 비책으로 교환할 수 있습니다,
8,가벼운 짐,[효과] 아무효과도 없습니다 [효과] 사용하려면 2냥 지불하세요 [효과] 보급 시 2냥 지불하고 새 비책으로 교환할 수 있습니다,
1,건강 검진,"[효과] 모든 참가자의 통행료가 절반으로 감소합니다, 소수점은 올립니다",
1,극심한 분리불안,[도착] 잔꾀 사용자는 가장 거리가 먼 사람의 위치에 즉시 도착합니다,
1,신의뜻,[말] 잔꾀 사용자가 다른 참가자의 말과 동일한 칸에 도착하면 자신의 미리내 조각 1개마다 1냥 지급 받습니다. 정산 후 효과는 종료됩니다,
1,도움 닫기,"[말] 이동 도중 말과 만나면 그 칸에서 주사위를 2개 굴려 합산하여 전진합니다, 1회만 유효합니다",
1,우대권,[효과] 이번 턴 모든 통행료를 내지 않습니다,
1,무료 증정,[도착] 이번 턴 토지를 1회 무료 구매할 수 있습니다,
1,가벼운 분리불안,[말] 다른 참가자의 말과 같은 칸에 도착하면 한 명당 2냥을 수여 받습니다,
1,마당발,"[도착] 같은 색깔의 인접 토지 1개를 추가 구매할 수 있습니다. 다른 인접 토지 구입 능력과 중복 사용할 수 없습니다",
1,강제 매각,"잔꾀 사용자가 도착한 토지의 통행료를 지급하지 않으며 은행에 강제 매각 시킵니다. 매각한 토지를 즉시 구매할 수 없으며, 원 토지 소유자는 승점과 구매 비용을 돌려 받습니다.",
1,호객꾼,[말] 당신의 말은 장애물이 됩니다. 당신의 말을 경유하는 다른 참가자는 1칸 이동하는데 주사위 눈 2개를 소모하여 느리게 이동합니다. 소수점은 버립니다,
1,뇌고왕,"[도착] 이번 턴, 당신이 지불하거나 받는 통행료를 절반으로 깎습니다, 소수점은 버립니다",
1,재뿌리기,[효과] 잔꾀 사용자가 지정한 토지는 이번 턴 통행료를 받을 수 없습니다,
1,긴장감 조성,[효과] 잔꾀 사용자가 지정한 토지는 이번 턴 통행료를 두 배로 올립니다,
1,느슨함 혐오자,[효과] 이번 턴 모든 토지 통행료를 2배로 올립니다,
1,극도의 느슨함 혐오자,[효과] 영구히 모든 토지 통행료를 2배로 올립니다,
1,무역의 선물,[효과] 자신의 토지 하나와 다른 참가자의 토지 하나를 교환합니다. 차액을 지급하지 않습니다,
1,뭘리권,[효과] 주사위를 취소하고 한번 더 굴릴 수 있습니다,
1,뭔칙휜,"[효과] 주사위를 취소하고 한번 더 굴릴 수 있습니다, 최대 2번 취소할 수 있습니다",
1,과속,[효과] 2냥 지불하고 주사위를 1개 구매합니다,
1,저속,[효과] 2냥 수여받고 주사위를 1개 줄입니다,
1,뇌절왕,"[효과] 이번 턴 도착 예정 [구역]에 자신의 토지가 있다면 추가 주사위(이번 턴에 굴린 주사위 개수)를 굴려 최종 이동에 더합니다. 이 추가 이동으로는 토지를 구매할 수 없으며 통행료를 지불하지 않습니다",
1,이럇!,[효과] 모든 사람이 주사위 1개를 얻습니다,
1,번뜩임,[효과] 당신이 원하는 참가자와 당신이 원하는 장수만큼 잔꾀를 [교환]하세요,
2,아주 큰 화목 난로,[효과] 미리내 조각 1개 얻습니다. 종료 시간을 1칸 당깁니다.,
2,거대한 산불,[효과] 미리내 조각 2개 얻습니다. 종료 시간을 2칸 당깁니다,
